"","id","sentence","difficulty"
"22","22","comme le signale l expression lingua franca  le français a été pendant très longtemps la langue internationale eu égard à notre rayonnement politique aussi bien que culturel","C2"
"23","23","je ne t ai pas téléphoné parce que j ai eu trop de travail ","B1"
"24","24","c est peut être ça que vous cherchez ","A2"
"25","25","qu est ce qui peut bien poser problème dans ces petits livrets pourtant plutôt attractifs pour que seuls 23 4  de leurs détenteurs arrivent au bout ","C2"
"26","26","je consulte d habitude ma messagerie et puis je prends un café ","A1"
"27","27","nous sommes en train de dîner ","A2"
"28","28","en fait je trouve que l éducation est une bonne chose ","B1"
"29","29","as tu besoin de quelque chose ","A1"
"30","30","perpétuel clandestin c est muni d un faux titre de séjour photocopie de la carte de résident d un copain complice qu il avait ensuite sillonné l hexagone au bon vouloir d employeurs peu scrupuleux ","C1"
"31","31","le mariage mixte apparaît comme le lieu privilégié ou les cultures s affrontent dialoguent et se fondent ","B2"
"32","32","assis en terrasse dans le quartier touristique du vieux lyon james sirote une limonade bien fraîche","B2"
"33","33","la chronologie antique ne prend sens que sur un large pourtour de la méditerranée de même que ce découpage spatial n est pertinent comme entité géographique que durant cette période pendant laquelle la mer intérieure n est pas vécue comme une limite ","C2"
"34","34","en voici un des moins obscurs  plus nous devenons maîtres de la biosphère plus nous en devenons dépendants  plus nous la dégradons plus nous dégradons nos vies5 ","C2"
"35","35","c est le début de troubles qui se poursuivent et s étendent au reste du territoire tout au long du mois de septembre les fameuses journées de septembre amplifiés le refus de guillaume 1er de considérer les revendications des insurgés","B2"
"36","36","les filles s étaient fait des colliers en fruits rouges qui ressemblaient à des perles ","B2"
"37","37","je reste avec toi ","A1"
"38","38","un revenu devient donc une nécessité pour que l homme puisse accéder à la satisfaction d avoir comblé ses désirs","C2"
"39","39","tu mangeas les petits fruits dès que tu les eus cueillis","C2"
"40","40","ben on est tous débordés quoi ","A1"
"41","41","un petit garçon  ben trois dans un nid et dans l autre y en a deux","A2"
"42","42","j ai été en forme toute la matinée ","A2"
"43","43","l ordinateur peut aussi répondre à des interruptions qui lui permettent d exécuter des programmes de réponses spécifiques à chacune puis de reprendre l exécution séquentielle du programme interrompu ","C2"
"44","44","il a plu et j ai attendu l autobus ","A2"
"45","45","dans d autres cas il s agit de limites relatives basées sur un taux de croissance démographique de référence valables là aussi uniquement hors centres ou pondérées en fonction du degré de centralité ","C2"
"46","46","c est bien ","A1"
"47","47","en 2007 moins de 8 des déchets des entreprises ont fait l objet d une collecte sélective ","B2"
"48","48","les médecins des donneurs vous conseilleront volontiers dans un tel cas vous renseigneront par rapport aux dons de sang ","C1"
"49","49","le plus inquiétant c est que la scandinavie avait déjà battu des records de chaleur pendant l été 2018","A2"
"50","50","j aime le ski ","A1"
"51","51"," malheureusement il semble désormais évident qu il n y a pas de voie pour obtenir une confirmation  a écrit neera tanden à joe biden en retirant sa candidature","B2"
"52","52","pourquoi l oisillon se retrouve t il seul dans la forêt ","A1"
"53","53","elle est née quel jour ","A1"
"54","54","il existe effectivement des êtres humains qui possèdent une quantité de pouvoir importante et qui contraignent l humanité à travailler en créant un cercle vicieux qui fait du travail une nécessité pour accéder à ses propres désirs","C2"
"55","55","une bouchée de  cette expression fait référence à la quantité d un aliment qu on met dans la bouche en une fois ","B1"
"56","56","si tu respectait les indications plus sérieusement tu trouverais plus facilement ton chemin à travers ces ruelles ","B2"
"57","57","aussitôt que julie eut découvert la vérité elle fut furieuse","C2"
"58","58","pile au moment où on a le plus besoin de réconfort","A2"
"59","59","le train en son temps était également craint brigitte munier les robots suscitent l enthousiasme des occidentaux mais aussi leur angoisse au lieu de les concevoir comme de simples outils ou à la manière japonaise tels d amicaux auxiliaires ils craignent des compétiteurs menaçant leur avenir ","C1"
"60","60","je viens d emménager dans ma nouvelle maison ","A2"
"61","61","et cette année ça défile ","B1"
"62","62","compte tenu de cette configuration cette zone est peu adaptée à des mesures de terrain pour limiter la diffusion des campagnols terrestres  les axes routiers ne représentant pas une barrière très forte pour cette espèce on peut aussi penser qu un tel résultat est un artéfact dû à la coupure artificielle d une seule tache de prairie ","C1"
"63","63","après mûre réflexion la commission européenne a eu une idée brillante s attaquer à un nouveau chantier qui avait jusque là bizarrement échappé à sa sagacité légendaire ","C1"
"64","64","avec de l expérience le télévendeur peut devenir animateur d un pôle de télévendeurs superviseur d équipe chef de plateau ","B1"
"65","65","et toi qu est ce que tu vas faire ","A2"
"66","66","les valorisations boursières des sociétés internet comme amazon","C2"
"67","67","sur d autres on entendait une série de détonations tandis que des contestataires scandaient  notre révolte doit réussir ","C1"
"68","68","les baby boomers en sont convaincus tout peut recommencer à 50 ans ","C1"
"69","69","rien n était si beau si leste si brillant si bien ordonné que les deux armées ","B1"
"70","70","comment t appelles tu ","A1"
"71","71","largué par la sonde européenne rosetta le petit robot avait atterri mercredi en fin d après midi sur le noyau de la comète tchourioumov guérassimenko une première de l histoire spatiale ","B2"
"72","72","elle pendit son linge au dossier d une chaise elle demeura debout tournant examinant les meubles frappée d une telle stupeur que ses larmes ne coulaient plus  il lui restait un sou sur les quatre sous gardés pour le lavoir puis entendant rire à la fenêtre étienne et claude déjà consolés elle s approcha prit leurs têtes sous ses bras s oublia un instant devant cette chaussée grise où elle avait vu le matin s éveiller le peuple ouvrier le travail géant de paris  à cette heure le pavé échauffé par les besognes du jour allumait une réverbération ardente au dessus de la ville derrière le mur de l octroi  c était sur ce pavé dans cet air de fournaise qu on la jetait toute seule avec les petits et elle enfila d un regard les boulevards extérieurs à droite à gauche s arrêtant aux deux bouts prise d une épouvante sourde comme si sa vie désormais allait tenir là entre un abattoir et un hôpital ","C2"
"73","73","le sérum qui a pâti de la comparaison avec ses concurrents pfizer et moderna est désormais considéré comme aussi efficace pour prévenir le risque d hospitalisation ","C1"
"74","74","j ai identifié trois peurs fondamentales du robot la crainte instinctive du métal contre la chair la crainte sociétale presque désespérée du robot qui va voler le travail de l homme et enfin la crainte identitaire de voir le robot nous dépasser en capacités intellectuelles ou autres ","C2"
"75","75","mais d autres pourront préférer l assassin des échecs ou les annales du kangourou editions du kangourou  ","C2"
"76","76","vous ferez de la randonnée ","B1"
"77","77","il y a plus de 50 pays francophones ","A1"
"78","78","ils ont déjà l obligation de les ramener chez eux ","B1"
"79","79","un autre  oui on leur a bien donné des noms","A2"
"80","80","vous joindrez à votre formulaire les pièces justificatives et documents sous format numérique ","B2"
"81","81","merci bon voyage ","A1"
"82","82","ce geste presque insensible lui fit courir de la tête aux pieds un grand frisson sur la peau et se tournant vivement il se jeta sur elle cherchant la bouche avec ses lèvres et la chair nue avec ses mains ","C2"
"83","83","il clabaude aux esgourdes des blaireaux enfarinés et des tordus pasteurisés ","C2"
"84","84","avec sa nouvelle compagne de quatorze ans sa cadette il dit vivre une renaissance ","C1"
"85","85","entre ceux qui ne jurent que par l introduction de l informatique dans l enseignement obligatoire et ceux qui ont peur que l on veuille transformer le primaire en une grande école d informatique il existe pourtant des pistes pour initier les enseignants et favoriser un passage du périscolaire au scolaire sans avoir à attendre une réforme du socle commun qui prendra des années ","C2"
"86","86","parmi les acteurs du commerce équitable il faut distinguer les organismes labellisateurs  qui certifient des filières d importation par produit et les importateurs  grossistes détaillants ou réseaux de boutiques comme artisans du monde  qui ont leurs propres contacts avec les producteurs et s autocontrôlent faute de mieux ","C1"
"87","87","elle peut donc ouvrir d autres réflexions et finalement devenir très enrichissante ","B2"
"88","88","ce paysan pleurait et prétendait qu on lui avait tout pris  fabrice lui donna un écu et il trouva de l avoine ","B2"
"89","89","la première limite est que les instruments de contingentement spatial pris en compte donnent une idée de la maîtrise potentielle de l urbanisation maîtrise dérivant des possibilités fournies par le cadre légal et stratégique dont chaque canton s est doté ","C2"
"90","90","le petit chat a plu à mes parents","A2"
"91","91","se prémunir contre l altération des données et avoir la certitude qu elles n ont pas été modifiées lors de leur stockage ou de leur traitement contribue à la qualité des prises de décisions basées sur celles ci ","C2"
"92","92","  nous sommes des joueurs joués3 ","B2"
"93","93","quand j ai lu j ai découvert de nouvelles choses surprenantes sur les locataires qui occupaient l appartement ","B1"
"94","94","vous avez dit la seule chose intelligente ","A2"
"95","95","mon ami ne répond pas au téléphone ","A1"
"96","96","mon fre re patrice est plus jeune que moi","A2"
"97","97","ils sont en vacances il n y a que nous sur cette partie de l île ","B1"
"98","98","quand il y a des nuages avec de la neige qui tombe c est qu il va neiger et qu il peut y avoir du brouillard des risques de congélation de la glace et que la température sera très basse","B1"
"99","99","un escalier nous conduisit à une large coursive en hauteur qui faisait le tour du bâtiment desservant une succession de bureaux ","C2"
"100","100","que vous cherchiez une simple annonce ou un recruteur vous êtes sûr de ne rater aucune offre d emploi grâce à notre système d alerte personnalisé ","B2"
"101","101","ça nous a donc coûté de l argent s énerve t elle ","B1"
"102","102","vous vous appelez comment ","A1"
"103","103","fabrice à peine âgé de seize ans représentait fort bien le chef de la maison ","B2"
"104","104","oui je suis à paris depuis vingt jours à peine ","A1"
"105","105","l apprentissage du code et plus largement d une culture générale du numérique à l école est une mesure réclamée depuis longtemps par l académie des sciences soutenue par des acteurs qui comptent dans le secteur numérique comme la cnil ou le conseil national du numérique et qui figure même dans une proposition de loi de la députée ump laure de la raudière ","C2"
"106","106","pourquoi ne pas avoir donné la serviette alors que tu avais déjà les plans ","B1"
"107","107","quand je rentre je demande à mes parents si je peux t appeler pour avoir de tes nouvelles ","A2"
"108","108","l important évidemment pour les contribuables européens qui voudraient annuler leur dette c est que chacun des créditeurs des créanciers soit traité de la même façon ","B2"
"109","109","même l ambassadeur birman aux nations unies kyaw moe tun a rompu de manière spectaculaire avec les généraux putschistes la semaine dernière en appelant à mettre fin au coup d etat ","C1"
"110","110","le directeur aurait donné de nouvelles consignes au personnel ","B2"
"111","111","vos regards m observent ","C2"
"112","112","de nombreux auteurs ont spéculé sur les différents aspects de la personnalité de léonard ","C1"
"113","113","les conséquences sur la nature sont gravissimes notamment sur les océans qui contiendraient selon la revue américaine science plus de 110 millions de tonnes de déchets plastiques ","B2"
"114","114","si sept millions de citadins rêvent de refaire leur vie aux champs tous ne passent pourtant pas à l acte  il y a toujours un événement déclencheur  constate la directrice de changer tout ","B2"
"115","115","mon père bien qu il observât strictement les convenances extérieures se permettait assez fréquemment des propos légers sur les liaisons d amour  il les regardait comme des amusements sinon permis du moins excusables et considérait le mariage seul sous un rapport sérieux ","C2"
"116","116","après tout que lui offre t elle à part de l ennui et une grosse boule d angoisse au creux du ventre ","A2"
"117","117","leur pavillon mitoyen à paris était pratiquement neuf quand ils l avaient acheté ","B2"
"118","118","l émigration galicienne sous tend l évolution du peuplement et l explique en grande partie ","C1"
"119","119","ces tanières se fondent dans la nature pour être quasiment invisibles ","C1"
"120","120","les hommes se croient libres alors qu ils sont contraints ou déterminés par leur nature","C2"
"121","121","il fallait radicalement changer de cap en choisissant la cuisine de qualité accessible au plus grand nombre au lieu de quoi nous nous sommes repliés sur des valeurs sûres désormais désuètes et indigestes ","B2"
"122","122","nos prophéties disent que tant qu il y aura des bisons sauvages nous survivrons ","C1"
"123","123","je m appelle camille et quand j e tais enfant j avais des re ves plein la te te","A2"
"124","124","réaffirmant que le sénat ne s était livré à aucun chantage contrairement aux allégations du rapporteur pour l assemblée nationale il a au contraire affirmé que la position de la haute assemblée relevait d une conception cohérente et constante de la société ","C1"
"125","125","quelques coups de battoir partaient encore espacés au milieu des rires adoucis des conversations qui s empâtaient dans un bruit glouton de mâchoires  tandis que la machine à vapeur allant son train sans repos ni trêve semblait hausser la voix vibrante ronflante emplissant l immense salle mais pas une des femmes ne l entendait  c était comme la respiration même du lavoir une haleine ardente amassant sous les poutres du plafond l éternelle buée qui flottait la chaleur devenait intolérable  des rais de soleil entraient à gauche par les hautes fenêtres allumant les vapeurs fumantes de nappes opalisées d un gris rose et d un gris bleu très tendre  et comme des plaintes s élevaient le garçon charles allait d une fenêtre à l autre tirait des stores de grosse toile  ensuite il passa de l autre côté du côté de l ombre et ouvrit des vasistas ","C2"
"126","126","que du bonheur ","A2"
"127","127","on semble oublier que le personnel en milieu scolaire applique déjà cette mesure ","B2"
"128","128","une association de promotion et de développement de l apprentissage en ligne note que si la calculatrice a supplanté le calcul mental y compris pour des opérations basiques et que l utilisation d un ordinateur relié à internet pourrait aisément remplacer une partie de notre mémoire les opérations basiques ont ont été mémorisées en amont et c est grâce à cette assimilation de connaissances basiques que l apprenant peut utiliser la calculatrice ","C1"
"129","129","tous sauf un petit oiseau ","A1"
"130","130","sa santé s est dégradée à cause d une infection sévère et ses jours sont comptés ","B2"
"131","131","la chose me vient d être certifiée ","B1"
"132","132","la nouvelle a fait grand bruit cette affaire de couvre feu cache en fait une angoisse plus profonde ","B1"
"133","133","j ai le plaisir de vous annoncer que votre demande d inscription à l université de strasbourg en première année de master sciences et société a été acceptée","B1"
"134","134","une large majorité de français est favorable à la modification du calcul de la retraite des fonctionnaires dans le cadre de la réforme en préparation selon un sondage publié vendredi","C2"
"135","135","aussi les jeunes heureux réussissent à acheter leur autonomie et leur tranquillité par une réussite au lycée qui ne les dévore pas ","B2"
"136","136","une fois qu il a tout fini the o peut enfin aller jouer et s amuser avant de di ner avec ses parents ","A2"
"137","137","la cinquantaine est un bel âge on gagne en profondeur et en bienveillance constate philippe wattier ","C1"
"138","138","les quelques chiffres publiés à ce jour donnent une idée de la dégradation du climat entre les élèves des deux sexes ","C1"
"139","139","mais une différence apparaît en fin de cursus scolaire les garçons prenant dans ce dernier domaine un avantage sur les filles ","B2"
"140","140","le vert par exemple est la couleur de l herbe et des feuilles des arbres ","A1"
"141","141","elle ne ressemble à aucune des filles que je connais ","A2"
"142","142","les masses liquides transportent les plus grandes espèces connues de mammifères et peut être recèlent elles des mollusques d une incomparable taille des crustacés effrayants à contempler tels que seraient des homards de cent mètres ou des crabes pesant deux cents tonnes ","B2"
"143","143","force est de constater que l écart se creuse entre les pays en développement qui progressivement sortent de la pénurie chronique et ceux qui stagnent ou régressent dans leur combat contre la faim ","C1"
"144","144","une huitième édition dominée par le duel au sommet avec alex thomson une course poursuite menée par armel depuis le 23 novembre dernier quarante sept jours de haute tension qui se terminent aujourd hui","C1"
"145","145","pourquoi on ne peut pas entrer dans la chambre ","A1"
"146","146","à très bientôt ","A2"
"147","147","c était cette comparaison tacitement et inlassablement répétée dans une même toile qui y introduisait cette puissante et multiforme unité cause parfois non clairement aperçue par eux de l enthousiasme qu excitait chez certains amateurs la peinture d elstir ","C2"
"148","148","soyons sérieux","B2"
"149","149","bienheureux le quidam que voilà débarrassé de cette peur originelle d échouer et de faire faux","C2"
"150","150","je prends le train ","A1"
"151","151","c est dans sa lettre à schuller extraite de sa correspondance que spinoza dénonce l illusion du libre arbitre","C2"
"152","152","je prends mon petit déjeuner dans la cuisine ","A1"
"153","153","il nous arrive de procéder de cette façon de temps en temps ","A2"
"154","154","alors qu au cours du paléolithique la diffusion avait fractionné l écoumène en petits groupes la tendance depuis la fin de la dernière glaciation est à l épaississement des relations dans l ancien monde par augmentation des effectifs et par tissage d interconnexions ","C2"
"155","155","or la croissance démographique concerne surtout les pays en voie de développement qui connaissent aujourd hui des problèmes de sous alimentation et de mauvaise alimentation ","C1"
"156","156","je suis dans ma chambre ","A1"
"157","157","une indéniable sérénité se reflétait sur ses traits ","C2"
"158","158","le jour de l an correspond au 1 janvier ","A1"
"159","159","étant féru d art yves saint laurent a constitué au fil des années une importante collection d objets précieux et de peintures qui ont inspiré certaines de ses créations ","C1"
"160","160","ils suivaient une sente creuse que dominait des deux côtés un talus de six pieds de haut ","C2"
"161","161","je ne comprends pas ","A1"
"162","162","mais à partir de ce moment elle n écouta plus  et le choeur des conviés la scène d ashton et de son valet le grand duo en ré majeur tout passa pour elle dans l éloignement comme si les instruments fussent devenus moins sonores et les personnages plus reculés  elle se rappelait les parties de cartes chez le pharmacien et la promenade chez la nourrice les lectures sous la tonnelle les tête à tête au coin du feu tout ce pauvre amour si calme et si long si discret si tendre et qu elle avait oublié cependant ","C2"
"163","163","et nos esprits qui reçoivent les instructions de ces organes diversement impressionnés comprennent analysent et jugent comme si chacun de nous appartenait à une autre race ","C1"
"164","164","trop concrète peut être après le temps du rêve aucun terminus ne semble pour l écrivain pouvoir justifier d avoir enduré tant de souffrances ni inciter à rompre avec le temps du vagabondage ","C2"
"165","165"," nous explorons la meilleure voie légale probablement via le système interaméricain en invoquant la déclaration des droits de l homme de 1948 ","C1"
"166","166","à ce compte là les cours de langue au collège pourraient être profitablement remplacés par des séances de mémorisation de l annuaire","C2"
"167","167","je préfère un autre bijou ","A1"
"168","168","il n a pas de veste","A1"
"169","169","un autre inconvénient à cette interdiction est le risque de priver les adolescents d un apprentissage sur l utilisation raisonnée d internet et des réseaux sociaux ","B2"
"170","170","le massacre est commémoré sur le drapeau de la ville de chicago par sa première étoile rouge","B1"
"171","171","je ne trouve pas la rue du marché ","A1"
"172","172","fruit d une pensée élaborée depuis la renaissance l individualisme est un projet de société dans lequel chacun devrait trouver les meilleures conditions de sa réalisation et de son épanouissement ","C1"
"173","173","cette année ce n est pas moins de 12 millions d élèves qui ont repris le chemin de l école ","A2"
"174","174","sébastien granet et hélène lavoie la cheffe nous ont accueillis malgré un autobus de visiteurs qui ripaillaient","C2"
"175","175","les parents qui ont du mal à couper le cordon s étonnent que leurs enfants préfèrent brancher leur boîte vocale et ne répondent pas à leurs appels ","B2"
"176","176","c est pourquoi nous demandons aujourd hui que le président de la république tienne sa parole et soumette  sans filtre  les propositions de la convention au référendum au parlement ou à application réglementaire directe ","C1"
"177","177","je ne trouve pas mes clés de maison ","A1"
"178","178","les industriels polluent l eau l air et les sols avec leurs produits toxiques ","B2"
"179","179","il met son plus beau costume et son chapeau","B1"
"180","180","d abord la dernière élection présidentielle où le vote pour le front national fut autant le fait des jeunes électeurs que de leurs aînés ","B2"
"181","181","selon un sondage publié en mai dernier par bva société française de sondages et le syntec numérique fédération professionnelle du secteur informatique favorable à la mesure 87  des français seraient même d accord pour que la programmation informatique soient enseignée à l école 24  à partir du primaire 41  à partir du collège ","C2"
"182","182","les parents de banlieue se sont organisés pour les devoirs des enfants ","A2"
"183","183","vous attendîtes la surprise que vos parents vous eurent promise","C2"
"184","184","le duo n a pas grand chose en commun mis à part ses positions relativement conservatrices qui lui vaut les foudres des progressistes ","B2"
"185","185","or sur les quelque 6 000 langues qui existent actuellement dans le monde la moitié compte moins de 10 000 locuteurs et un quart moins de 1 000 ","C1"
"186","186","les passants semblent moins pressés et s attardent plus facilement devant une devanture ou dansles rayons ","B2"
"187","187","a qui appartient le chien qui aboie nuit et jour ","B1"
"188","188","elle sait parler anglais et espagnol","A1"
"189","189","ce phénomène c est l apparition d une génération inédite ","B2"
"190","190","après l ambiance de luxe ici c est comme un tranquille village","B1"
"191","191","des chiffres tirés d une des rares enquêtes sur le sujet réalisée en 2000 publiée en 2001 par l institut de recherche sur l économie de l éducation auprès des parents de 2 500 enfants de l académie ","C2"
"192","192","monet peignit ce portrait emplit de sensualité et lourd de symbolisme ","C1"
"193","193","elle pense à lui ","A1"
"194","194","oui l ouragan a touché terre la nuit dernière dans le nord du nicaragua il s est ensuite étendu à plusieurs pays d amérique centrale","B1"
"195","195","je viens d emme nager dans ma nouvelle maison","A2"
"196","196","de toute façon chacun sait que pour choisir son logement idéal cela peut prendre plusieurs mois ","B1"
"197","197","parmi les habitants de la région il y a ceux qui veulent revenir et ceux qui ne veulent pas","A2"
"198","198","nous apportons des arguments experimentaux et théoriques en faveur d un mecanisme intramoleculaire ","C2"
"199","199","on choisit la date le lieu et le projet qui nous intéressent on paye et on part ","B1"
"200","200","dans les campagnes c est différent ","A2"
"201","201","faites des groupes de trois personnes ","A1"
"202","202","la salle craquait sous les bravos  on recommença la strette entière  les amoureux parlaient des fleurs de leur tombe de serments d exil de fatalité d espérances et quand ils poussèrent l adieu final emma jeta un cri aigu qui se confondit avec la vibration des derniers accords ","C2"
"203","203","le président a promis qu il tiendrait toutes ses promesses ","B1"
"204","204","qu allez vous faire demain ","B1"
"205","205","où se trouve le supermarché ","A1"
"206","206","il donna cette feuille à l alouette et lui ordonna de la laisser tomber sur la tête du dragon ","A2"
"207","207","je vous conseille d écouter deux fois cette histoire avant de passer à la suite ","A2"
"208","208","après 22 ans de vie parisienne cet ancien designer graphiste a décidé de se consacrer à sa passion de toujours  la cuisine","C1"
"209","209","je ne veux plus le voir parce qu on s est disputés la dernière fois que l on s est vus ","A2"
"210","210","en france si je parle anglais à mon fils mathias il me répond plutôt en français ","B1"
"211","211","nous les mangeons ensemble le samedi soir ","A1"
"212","212","ça veut dire sapeurs pompiers ","C1"
"213","213","les sexagénaires sont jeunes ","B2"
"214","214","et le vieux chef a toujours raison car c est le seul qui parle aux dieux ","B1"
"215","215","j ai cherché à te joindre il y a une heure ","A2"
"216","216","cela nécessite des équipements et suffisamment de place ","B2"
"217","217","j ai soif ","A1"
"218","218","léonard de vinci a eu beaucoup d amis qui sont reconnus dans leurs domaines respectifs ou ont eu une influence importante sur l histoire ","B2"
"219","219","l incarnation nous met en présence de l immuable qui est par lui même quelque chose de général et cet immuable revêtant le caractère de l individualité ce caractère même devient quelque chose d universel ","C2"
"220","220","vous avez une réduction ","A1"
"221","221","je n aime pas la pluie surtout pendant les vacances ","A1"
"222","222","je serai ravi de t accueillir ","A2"
"223","223","le petit chat plaît à mes parents ","A2"
"224","224","comme l enfant séparé de sa mère trouve dans son doudou un moyen de se rassurer le smartphone objet transitionnel ne permettrait il pas de lutter contre les frustrations et affects négatifs provoqués par le monde social ","C2"
"225","225","twitter va bannir les utilisateurs en cas de désinformation répétée sur les vaccins ","B2"
"226","226","c est de manière plus générale et de façon indiscutable le meilleur joueur du monde ","B1"
"227","227","cette fin des grands récits est largement celle où les lieux étaient classés par étapes  la succession des modes de production marxistes en représentait la version la plus formalisée mais parler de sous développement ou de décollage s inscrivait dans le même paradigme évolutionniste ","C2"
"228","228","ici le travail est un châtiment divin imposé par dieu aux hommes pour les punir de leur désobéissance","C2"
"229","229","même sans se considérer forcément comme un cyberaddict  tout un chacun peut s inspirer de ces techniques pour y puiser des conseils ","C2"
"230","230","ils sont pas chers","A1"
"231","231","je sais qu elle vit seule avec son père mais je ne lui ai jamais demandé pourquoi ","B1"
"232","232","ces deux étapes se caractérisent pas la difficulté éprouvée par le couple devant les choix qu impose l éducation de leurs enfants école religion langue  ","C2"
"233","233","ainsi l inaltérable patience de robots instituteurs en corée du nord et au japon convient elle aux enfants autistes mais nul ne sait comment évolueront les autres enfants qui n apprennent pas à composer avec les humeurs d un professeur humain ","C1"
"234","234","la communauté scientifique apprécie peu la présence de femmes ","B2"
"235","235","les anciennes générations sont beaucoup plus conservatrices que les jeunes générations ","B2"
"236","236","etes vous à la maison ","A1"
"237","237","quand les rencontrer ","A2"
"238","238","entre ceux qui ne jurent que par l introduction de l informatique comme un enseignement obligatoire et ceux qui ont peur que l on veuille transformer le primaire en une prépa à l ecole 42 il existe pourtant des pistes pour initier les enseignants et favoriser un passage du périscolaire au scolaire sans avoir à attendre une réforme du socle commun qui prendra des années ","C2"
"239","239","un message d urgence des pompiers vient de tomber ","A2"
"240","240","j étais donc lycéen et pompier à la fois ","A2"
"241","241","un journaliste de art press a interviewé agathe sur la performance dans laquelle elle a participé ","B2"
"242","242","je ne crois pas que les enfants vont réussir ","A2"
"243","243","c est vrai qu ils sont très bons mais j ai peur qu il tombe malade","B1"
"244","244","c est d accord pour samedi je viens avec ma soeur katrine ","A1"
"245","245","les cyanobactéries se distinguent des bactéries par la présence de chlorophylle a et de pigments accessoires hydrosolubles les phycobilines rouge et bleue ","C1"
"246","246","celles ci n influeront sur la recherche scientifique que vers le milieu du xviie siècle et l on peut il me semble attribuer au grand naturaliste réaumur le mérite d en avoir tiré les premières conséquences expérimentales dans ses recherches sur la prolongation de la vie chez les insectes ","C2"
"247","247","même à l université les études sont trop focalisées et seuls 5  des étudiants qui ont un doctorat occuperont une fonction académique ","C2"
"248","248","et si boire chaud donne chaud c est un mal pour un bien car la température élevée du liquide augmente la température interne du corps et stimule ainsi la transpiration ","B1"
"249","249","le soir venu il faut rentrer en prenant le même chemin que le matin","A2"
"250","250","je suis vraiment plus dans le flow","A2"
"251","251","l élastique s est distendu ","B1"
"252","252","cet auteur tellement lu pour sa grammaire impertinente propose aussi des jeux pour lire vite retz ","C2"
"253","253","des coutumes similaires ont existé autrefois notamment dans le finistère  les enfants s amusaient à creuser des betteraves au moment de la toussaint pour faire peur aux gens du voisinage","B2"
"254","254","elle ressemble à un bébé tigre mais c est un tigre qui a très peur ","A2"
"255","255","de nombreux indicateurs lui permettent de suivre l évolution de la situation et au fur et à mesure que l épidémie se propage de nouveaux outils deviennent nécessaires pour avoir une vision globale de la situation ","C1"
"256","256","alice a un chien ","A1"
"257","257","pierre qui roule n amasse pas mousse","C1"
"258","258","elle n était pas là ","A1"
"259","259","des réponses aux questions que l on se pose sur soi et sur les autres ","A2"
"260","260","cependant la responsable du service nous a confirmé que les conditions d accueil et de délivrance de vos documents administratifs mit été respectées selon les normes établies par notre ministère","C2"
"261","261","l ensemble des jeunes ","A2"
"262","262","il avait pris sa belle valise verte qu il trimballe depuis vingt ans pour passer cinq jours de vacances près de vannes chez sa vieille amie sylvaine qu il voyait beaucoup avant de vivre à valencienne","B1"
"263","263","ensuite on ira au cinéma du quartier qui organise tous les ans des séances spéciales","C1"
"264","264","les résultats de deux études sur les métriques utilisées par les entreprises pour évaluer leur capital intellectuel","C2"
"265","265","la ville entière s est illuminée autour du marché de noël qui enchante les passants de ses illuminations réchauffant les coeurs dans le froid de l hiver","B2"
